"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
9,"1","2024-05-10T11:08:17.528058Z",11,"[{""start"":54,""end"":62,""text"":""Тбилиси."",""labels"":[""LOC_CITY""]}]",20.572,"Спецназ применил водомет для разгона акции протеста в Тбилиси.","2024-05-10T11:08:17.528080Z"
10,"1","2024-05-10T11:08:39.423157Z",12,"[{""start"":99,""end"":102,""text"":""США"",""labels"":[""LOC_COUNTRY""]},{""start"":188,""end"":191,""text"":""США"",""labels"":[""LOC_COUNTRY""]},{""start"":815,""end"":823,""text"":""Америке."",""labels"":[""LOC""]},{""start"":884,""end"":887,""text"":""США"",""labels"":[""LOC_COUNTRY""]}]",21.059,"BRIEFLY. Акценты.Колумнист Ингрид Жак издания USA Today размышляет о разделе IX, который призван в США защитить гражданские права женщин. Автор акцентирует, что новые изменения президента США Джо Байдена кардинально переворачивают ситуацию, расширяя определение биологического пола до гендерной идентичности. То есть женщиной могут быть названы все, кто считает себя женщиной, независимо от биологического пола, согласно новым поправкам Байдена. Title IX теперь будет «фактически вредить» женщинам. Раздел IX - это закон о гражданских правах в сфере образования, принятый Конгрессом в 1972 году, который требует от школ, получающих федеральные средства, запретить дискриминацию в программах и мероприятиях «по половому признаку». Это простая мера, которая изменила положение женщин и их доступ к школьному спорту в Америке. Теперь все изменилось – указывает автор материала. Многие в США обеспокоены решением Байдена изменить определение понятия «пол», включив в него гендерную идентичность, чего Конгресс ранее не делал. Это изменение позволит студентам-трансгендерам выбирать, какими ванными комнатами и раздевалками они хотят пользоваться, и в каких спортивных командах они хотят играть. Это создаст проблемы как с личной жизнью, так и со справедливостью для спортсменок - тех самых молодых женщин, которым изначально должен был помочь закон.Новые изменения появилось в неудобное время, считает колумнист. Именно сейчас профессиональные и студенческие ассоциации, после нескольких громких скандалов и судебных разбирательств, ужесточают свои правила в отношении участия трансгендеров в женских видах спорта. В материале приводятся данные опроса Gallup. Почти 70% американцев не поддерживают спортсменов-трансгендеров, играющих в командах. Так что переработка Байденом раздела IX, похоже, не соответствует тому, чего хочет большая часть страны, - резюмирует обозреватель USA Today Ингрид Жак.Подписаться.","2024-05-10T11:08:39.423183Z"
11,"1","2024-05-10T11:08:50.761798Z",13,"[{""start"":2,""end"":8,""text"":""Москве"",""labels"":[""LOC_COUNTRY""]},{""start"":42,""end"":57,""text"":""общежитию РУДН,"",""labels"":[""LOC""]}]",10.513,"В Москве пять машин спасателей приехали к общежитию РУДН, жильцов одного из корпусов эвакуировали, передает корреспондент РИА Новости. По словам очевидцев, сработала пожарная сигнализация.","2024-05-10T11:08:50.761819Z"
12,"1","2024-05-10T11:09:18.590128Z",14,"[{""start"":63,""end"":69,""text"":""Китай:"",""labels"":[""LOC_COUNTRY""]},{""start"":187,""end"":189,""text"":""РФ"",""labels"":[""LOC_COUNTRY""]},{""start"":218,""end"":221,""text"":""КНР"",""labels"":[""LOC_COUNTRY""]},{""start"":381,""end"":387,""text"":""Россия"",""labels"":[""LOC_COUNTRY""]},{""start"":462,""end"":468,""text"":""Китай."",""labels"":[""LOC_COUNTRY""]},{""start"":479,""end"":485,""text"":""Пекине"",""labels"":[""LOC_CITY""]},{""start"":572,""end"":574,""text"":""РФ"",""labels"":[""LOC_COUNTRY""]},{""start"":805,""end"":808,""text"":""КНР"",""labels"":[""LOC_COUNTRY""]}]",26.822,"Владимир Путин уже начал активную подготовку к своему визиту в Китай: переговоры с Си Цзиньпином будут носить по-настоящему стратегический характер. Источники рассказывают, что президент РФ планирует предложить лидеру КНР ""рассмотреть несколько инициатив, которые изменят мировое геополитическое пространство"". ""Утверждается, что речь может пойти о масштабном усилении роли БРИКС: Россия в этом случае готова к тому, что фактически руководить объединением будет Китай. Но пока в Пекине к подобным инициативам относятся крайне прохладно: там считают, что вступать в союз с РФ ради сомнительных ""геополитических авантюр"" нецелесообразно, опасно и даже вредно. Поэтому Путину придется очень постараться, чтобы убедить китайских партнеров прислушаться к нему. Иначе визит будет провален и придется уезжать из КНР ни с чем"",— добавляют инсайдеры.@moskovskiyPul","2024-05-10T11:09:18.590149Z"
13,"1","2024-05-10T11:09:44.810439Z",15,"[{""start"":0,""end"":14,""text"":""Общежитие РУДН"",""labels"":[""LOC""]},{""start"":18,""end"":38,""text"":""улице Миклухо Маклая"",""labels"":[""LOC_STREET""]}]",24.807,"Общежитие РУДН на улице Миклухо Маклая эвакуировали из-за возгорания. Об этом  ТАСС сообщили в оперативных службах. Известно, что в одном из лифтов застряли люди. Пожарные ищут очаг возгорания на чердаке, внутри сильное задымление. На данный момент пострадавших нет, отмечает ТАСС.","2024-05-10T11:09:44.810462Z"
14,"1","2024-05-10T11:10:10.866068Z",16,"[{""start"":7,""end"":14,""text"":""Эстонии"",""labels"":[""LOC_COUNTRY""]},{""start"":37,""end"":53,""text"":""Европейский Союз"",""labels"":[""LOC""]},{""start"":94,""end"":101,""text"":""Россией"",""labels"":[""LOC_COUNTRY""]},{""start"":335,""end"":342,""text"":""Эстонии"",""labels"":[""LOC_COUNTRY""]},{""start"":402,""end"":412,""text"":""Финляндии,"",""labels"":[""LOC_COUNTRY""]},{""start"":413,""end"":420,""text"":""Латвии,"",""labels"":[""LOC_COUNTRY""]},{""start"":421,""end"":426,""text"":""Литвы"",""labels"":[""LOC_COUNTRY""]},{""start"":429,""end"":436,""text"":""Швеции."",""labels"":[""LOC_COUNTRY""]},{""start"":507,""end"":513,""text"":""Польши"",""labels"":[""LOC_COUNTRY""]},{""start"":516,""end"":522,""text"":""Швеции"",""labels"":[""LOC_COUNTRY""]},{""start"":626,""end"":635,""text"":""Финляндии"",""labels"":[""LOC_COUNTRY""]},{""start"":694,""end"":699,""text"":""Тарту"",""labels"":[""LOC_CITY""]},{""start"":785,""end"":794,""text"":""Хельсинки"",""labels"":[""LOC_CITY""]},{""start"":820,""end"":826,""text"":""Тарту."",""labels"":[""LOC_CITY""]}]",25.079,"Власти Эстонии намерены обратиться в Европейский Союз и НАТО из-за предполагаемого подавления Россией сигналов спутниковой навигационной системы GPS, пишет Bloomberg. «Это преднамеренное действие, которое разрушает нашу жизнь, подвергает жизни людей риску и может рассматриваться как гибридная атака», — заявил министр иностранных дел Эстонии Маргус Цахкна.Он также обсудил эту проблему с коллегами из Финляндии, Латвии, Литвы и Швеции. Саму ситуацию министр описал как «очень опасный вопрос». Ранее власти Польши и Швеции предупредили пилотов и капитанов кораблей о проблемах с GPS в регионе.Накануне крупнейшая авиакомпания Финляндии — Finnair приостановила на месяц полеты в эстонский город Тарту из-за проблем с системой GPS. На прошлой неделе два рейса были вынуждены вернуться в Хельсинки из-за помех на подлете к Тарту.","2024-05-10T11:10:10.866098Z"
17,"1","2024-05-21T15:19:59.202254Z",17,"[{""start"":777,""end"":785,""text"":""Москва»."",""labels"":[""LOC_CITY""]},{""start"":104,""end"":107,""text"":""РФ."",""labels"":[""LOC_COUNTRY""]}]",30.844,"Глава СПЧ назвал «несправедливыми и неуместными» возможные проверки сексуальной ориентации чиновников в РФ. Валерий Фадеев не увидел необходимости в таких проверках. А еще он добавил, что вычислить «неоткрытого» гея будет «довольно сложно».Ранее депутат Госдумы Александр Хинштейн предложил проверять сексуальную ориентацию чиновников перед назначением на пост. По его словам, в таких проверках нет «ничего предосудительного и плохого».«У меня вопрос: а как проверить сексуальную ориентацию чиновников? Предполагаю, что в этом нет никакой необходимости, и боюсь, что проверить это будет довольно сложно. <...> А так, чтобы вводить специальные проверки, — я не уверен, что это с точки зрения закона справедливо», — сказал глава СПЧ в ответ на идею Хинштейна в беседе с «Говорит Москва».","2024-05-21T15:19:59.202288Z"
18,"1","2024-05-21T15:20:17.970925Z",18,"[{""start"":55,""end"":61,""text"":""Европа"",""labels"":[""LOC""]},{""start"":43,""end"":51,""text"":""Украине,"",""labels"":[""LOC_COUNTRY""]},{""start"":141,""end"":147,""text"":""Европа"",""labels"":[""LOC""]}]",17.135,"Трамп в интервью Time: «Я попытаюсь помочь Украине, но Европа тоже должна туда прийти и выполнить свою работу. Они не выполняют свою работу. Европа не платит свою справедливую долю».","2024-05-21T15:20:17.970946Z"
19,"1","2024-05-21T15:20:42.937073Z",19,"[{""start"":2,""end"":9,""text"":""Тбилиси"",""labels"":[""LOC_CITY""]},{""start"":108,""end"":128,""text"":""проспекте Руставели."",""labels"":[""LOC_STREET""]},{""start"":236,""end"":242,""text"":""Грузии"",""labels"":[""LOC_COUNTRY""]},{""start"":330,""end"":338,""text"":""Тбилиси,"",""labels"":[""LOC_CITY""]}]",24.008,"В Тбилиси активисты, протестующие против закона об иноагентах, пытаются воздвигать баррикады на центральном проспекте Руставели. Тем временем местные СМИ сообщают, что спецназ задержал оппозиционного депутата Алеко Элисашвили.Президент Грузии в выпущенном заявлении призвала главу МВД немедленно прекратить разгон демонстрантов в Тбилиси, протестующих против закона об иноагентах.","2024-05-21T15:20:42.937096Z"
20,"1","2024-05-21T15:21:02.626120Z",20,"[{""start"":20,""end"":22,""text"":""РФ"",""labels"":[""LOC_COUNTRY""]},{""start"":695,""end"":704,""text"":""Вильнюсе."",""labels"":[""LOC_CITY""]}]",18.761,"Бывший вице-премьер РФ Альфред Кох жестко раскритиковал Марию Певчих (иноагент) и всю команду Навального за критику в адрес Михаила Ходорковского (иноагент):У вас Навальный отсидел 2 года и запросился на обмен. «Герой, святой». А Ходорковский червонец отсидел, сталинской срок, и вы теперь на него накинулись. Да вы мизинца его не стоите. Как вы можете судить человека, который червонец отсидел. Ему только за это надо медаль дать. Что он живой остался и вернулся вменяемый, что-то делает, борется. Не нужны ему ваши гранты, он богатый парень. Не будет он вам конкурентом за деньги Госдепа. Жрите их в три горла, заберите хоть все ваши гранты. Подавитесь ими. Постройте себе еще один пентхаус в Вильнюсе. Вы думаете, мы не знаем, где вы живете? Все мы знаем. И видим, в каком офисе вы сидите, на каких автомобилях ездите. И как одеваетесь на церемонию «Оскара» по поводу того, как вашего мужа и вашего соратника убивали.","2024-05-21T15:21:02.626143Z"
21,"1","2024-05-21T15:21:08.095246Z",21,"[{""start"":50,""end"":58,""text"":""Тбилиси,"",""labels"":[""LOC_CITY""]},{""start"":80,""end"":87,""text"":""Грузии."",""labels"":[""LOC_COUNTRY""]}]",4.655,"Трое полицейских пострадали при разгоне митинга в Тбилиси, сообщили в Минздраве Грузии.","2024-05-21T15:21:08.095272Z"
22,"1","2024-05-21T15:21:15.515239Z",22,"[{""start"":2,""end"":12,""text"":""Волгограде"",""labels"":[""LOC_CITY""]}]",6.432,"В Волгограде горожане разочаровались в концерте участницы голой вечеринки ANNA ASTI, который накануне прогремел в городе-герое. Тысячи зрителей пришли на выступление певицы, ожидая фееричного шоу, однако ушли домой недовольными. И только драка двух женщин повеселила фанатов🙈","2024-05-21T15:21:15.515264Z"
23,"1","2024-05-21T15:21:38.980548Z",23,"[{""start"":12,""end"":18,""text"":""Турции"",""labels"":[""LOC_COUNTRY""]},{""start"":21,""end"":27,""text"":""Россию"",""labels"":[""LOC_COUNTRY""]},{""start"":136,""end"":142,""text"":""Москва"",""labels"":[""LOC_CITY""]},{""start"":183,""end"":191,""text"":""Украине,"",""labels"":[""LOC_COUNTRY""]}]",22.437,"🇹🇷🇷🇺Экспорт Турции в Россию упал в начале 2024 года, что говорит о том, что американские меры по ограничению торговли товарами, которые Москва использует в своих военных действиях на Украине, начинают приносить свои плоды. 2024[BBG]","2024-05-21T15:21:38.980573Z"
24,"1","2024-05-21T15:21:48.753038Z",24,"[{""start"":39,""end"":58,""text"":""проспекте Руставели"",""labels"":[""LOC_STREET""]},{""start"":61,""end"":68,""text"":""Тбилиси"",""labels"":[""LOC_CITY""]}]",8.764,"Недалеко от места, где протестующие на проспекте Руставели в Тбилиси строят баррикады из подручных средств, были слышны звуки разрыва дымовых гранат, после этого митингующие начали разбегаться.","2024-05-21T15:21:48.753075Z"
25,"1","2024-05-21T15:21:58.531244Z",25,"[{""start"":134,""end"":137,""text"":""США"",""labels"":[""LOC_COUNTRY""]}]",8.609,"Трамп в случае своей победы на ноябрьских выборах намерен назначить спецпрокурора, который будет преследовать действующего президента США Байдена. Трамп уверен, что Байдена нужно привлечь к ответственности:Я предполагаю, что судьба Байдена может быть связана с предстоящим решением Верховного суда о том, могут ли президенты подвергаться уголовному преследованию за действия, совершенные на посту. Если они скажут, что президент не имеет иммунитета, то Байден, я уверен, будет привлечен к ответственности за все свои преступления","2024-05-21T15:21:58.531277Z"
26,"1","2024-05-21T15:22:27.565614Z",27,"[{""start"":45,""end"":51,""text"":""Грузии"",""labels"":[""LOC_COUNTRY""]},{""start"":97,""end"":105,""text"":""Тбилиси,"",""labels"":[""LOC_CITY""]}]",5.903,"Председатель крупнейшей оппозиционной партии Грузии Леван Хабеишвили избит полицией на митинге в Тбилиси, сообщил телеканал ""Мтавари архи"".","2024-05-21T15:22:27.565638Z"
27,"1","2024-05-21T15:22:43.759960Z",28,"[{""start"":14,""end"":17,""text"":""США"",""labels"":[""LOC_COUNTRY""]},{""start"":59,""end"":65,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":175,""end"":179,""text"":""США."",""labels"":[""LOC_COUNTRY""]},{""start"":222,""end"":240,""text"":""Соединенных Штатов"",""labels"":[""LOC_COUNTRY""]},{""start"":779,""end"":785,""text"":""России"",""labels"":[""LOC_COUNTRY""]}]",15.339,"Экс-президент США Дональд Трамп заявил, что арестованный в России журналист Wall Street Journal Эван Гершкович вряд ли выйдет на свободу до ноябрьских президентских выборов в США. По словам политика, действующий президент Соединенных Штатов Джо Байден не сможет добиться освобождения репортера. Сам же он, утверждает Трамп, сумел бы решить этот вопрос.«Разница между мной и Байденом заключается в том, что я добьюсь его освобождения. Его освободят»,— заявил Трамп в интервью журналу Time. На вопрос журналиста о том, почему политик раньше не призывал к освобождению Эвана Гершковича, экс-президент ответил, что был занят другими вещами во время подготовки к выборам.Дональд Трамп также назвал Гершковича очень смелым молодым человеком и высказал уверенность в том, что президент России Владимир Путин также будет согласен освободить журналиста.","2024-05-21T15:22:43.759995Z"
28,"1","2024-05-21T15:23:03.850251Z",29,"[{""start"":47,""end"":54,""text"":""Украины"",""labels"":[""LOC_COUNTRY""]},{""start"":57,""end"":59,""text"":""ЕС"",""labels"":[""LOC""]},{""start"":107,""end"":114,""text"":""Европа,"",""labels"":[""LOC""]},{""start"":255,""end"":261,""text"":""Чехии."",""labels"":[""LOC_COUNTRY""]},{""start"":255,""end"":261,""text"":""Чехии."",""labels"":[""LOC_COUNTRY""]},{""start"":303,""end"":313,""text"":""Украины»,—"",""labels"":[""LOC_COUNTRY""]},{""start"":398,""end"":405,""text"":""Украины"",""labels"":[""LOC_COUNTRY""]},{""start"":460,""end"":463,""text"":""ЕС."",""labels"":[""LOC""]}]",19.114,"Владимир Зеленский заявил, что сейчас членство Украины в ЕС — это мечта, которая скоро станет реальностью.«Европа, в которой честь быть для каждой нации — это действительно мечта. Мечта, объединяющая нас. 20 лет тому назад эта мечта стала реальностью для Чехии. И я уверен, скоро станет реальностью для Украины»,— сказал украинский президент. Он добавил, что уже в июне текущего года правительство Украины официально начнет переговоры о присоединении страны к ЕС.","2024-05-21T15:23:03.850284Z"
29,"1","2024-05-21T15:23:53.276388Z",31,"[{""start"":14,""end"":21,""text"":""Израиль"",""labels"":[""LOC_COUNTRY""]},{""start"":87,""end"":93,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":105,""end"":113,""text"":""Украины."",""labels"":[""LOC_COUNTRY""]},{""start"":177,""end"":184,""text"":""Израиль"",""labels"":[""LOC_COUNTRY""]},{""start"":250,""end"":277,""text"":""Иерусалимского университета"",""labels"":[""LOC_PLACES""]},{""start"":337,""end"":343,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":346,""end"":353,""text"":""Израиль"",""labels"":[""LOC_COUNTRY""]},{""start"":502,""end"":508,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":511,""end"":518,""text"":""Израиль"",""labels"":[""LOC_COUNTRY""]},{""start"":657,""end"":663,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":666,""end"":673,""text"":""Израиль"",""labels"":[""LOC_COUNTRY""]},{""start"":762,""end"":768,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":771,""end"":778,""text"":""Израиль"",""labels"":[""LOC_COUNTRY""]},{""start"":895,""end"":903,""text"":""Израиль."",""labels"":[""LOC_COUNTRY""]},{""start"":1246,""end"":1252,""text"":""России"",""labels"":[""LOC_COUNTRY""]},{""start"":1255,""end"":1262,""text"":""Израиль"",""labels"":[""LOC_COUNTRY""]}]",29.248,"В 2022 году в Израиль прибыли около 73 тысяч новых иммигрантов. Из них 58% приехали из России и 21% — из Украины. Это прямой результат военных действий. Всего в 2022-23 годах в Израиль иммигрировало больше россиян, чем за 11 лет до этого.Демограф из Иерусалимского университета в Израиле Марк Тольц опубликовал исследование эмиграции из России в Израиль за последние 33 года. Вот некоторые тезисы. ▪️Эмиграция росла во время кризисов. Некоторые исследования показали связь между динамикой эмиграции из России в Израиль и колебаниями цен на нефть. Например, в 2015 году российская экономика столкнулась с рецессией и девальвацией  рубля. Число эмигрантов из России в Израиль выросло в том же году на 44% и стало в 2,5 раза больше, чем в 2008 году. Рост потока из России в Израиль продолжился до 2019 года, а во время пандемии он резко сократился. ▪️ В 2022 году началась новая волна иммиграции в Израиль. Число иммигрантов составило 45 тысяч человек — столько же было в 1990 году. ▪️ В 2022 году произошли заметные изменения в половозрастной структуре мигрантов: среди них снизилась доля старших возрастов и стали незначительно преобладать мужчины, в особенности молодого возраста. ▪️ Как отмечает Тольц, в 2022 году среди миграционного потока из России в Израиль этнические евреи составили меньшинство — 27%. Столько же было в 2021 году — и это минимальные значения с 1990 года.","2024-05-21T15:23:53.276408Z"
30,"1","2024-05-21T15:23:59.769484Z",32,"[{""start"":2,""end"":21,""text"":""Воронежской области"",""labels"":[""LOC_REGION""]}]",5.252,"В Воронежской области уничтожили украинский БПЛА самолётного типа, сообщил губернатор Гусев. Пострадавших и разрушений на земле нет.","2024-05-21T15:23:59.769508Z"
31,"1","2024-05-21T15:24:06.847695Z",33,"[{""start"":65,""end"":74,""text"":""Воронежа,"",""labels"":[""LOC_CITY""]}]",6.095,"Дежурные силы ПВО и средства РЭБ сбили ещё один БПЛА в пригороде Воронежа, заявил губернатор Гусев. Пострадавших нет. В строящемся доме в результате падения обломков выбиты стёкла.","2024-05-21T15:24:06.847718Z"
32,"1","2024-05-21T15:24:11.468535Z",34,"[{""start"":21,""end"":39,""text"":""Рязанскую область."",""labels"":[""LOC_REGION""]}]",3.609,"Беспилотник атаковал Рязанскую область. По предварительной информации, пострадавших нет, сообщил глава региона Павел Малков.","2024-05-21T15:24:11.468558Z"
